Especie,Categoría,f_sa,f_n,C_ind,rho_net,Delta_c,Phi,f_r,Beta
Humano (Aislado),Mamífero,65,20,1,0,1,1300,150,0.9
Humano (Internet/Cultura),Mamífero,65,20,1.5,5000,7501.5,9751950,150,0.95
Perro (Mascota),Mamífero,75,25,0.8,2,2.4,4500,300,0.85
Lobo (Manada),Mamífero,75,25,0.9,15,14.4,27000,300,0.75
Mosca (Solitaria),Insecto,250,200,1,0,1,50000,150,0.98
Hormiga (Colonia),Insecto,200,150,0.1,1000,100.1,3003000,100,0.95
Abeja (Enjambre),Insecto,300,150,0.15,800,120.15,5406750,250,0.9
Delfín (Manada Oceánica),Marino,100,30,2,50,102,306000,10000,0.7
Ballena Azul (Canto Global),Marino,15,10,5,200,1005,150750,20,0.8
Coral (Arrecife),Marino,0.5,0.1,0.5,10000,5000.5,250.025,5,0.5
Árbol (Solitario),Planta,0.05,0.01,10,0,10,0.005,0.5,0.4
Bosque (Red Micelial),Hongo/Planta,0.01,0.001,50,50000,2500050,25.001,0.1,0.2
Estornino (Bandada Murmurante),Ave,140,50,0.3,300,90.3,632100,4000,0.85
Cuervo (Cultura Aviar),Ave,120,40,1.2,20,25.2,120960,1500,0.88
IA (Agente Sintético Local),Sintético,1000,5000,1000,10,11000,55000000000,3702,0.05
IA (Red Neuronal Global),Sintético,50000,50000,10000,1000000,10000010000,2.50E+19,3702,0.01
Cosmómano (Nivel IV),Cósmico,1.00E-06,50000,100000,10000000,1E+12,50000005000,3702,0.01
Elefante (Manada),Mamífero,69.183,20.25,1.684,35.45,61.382,85993.466,420.02,0.783
Chimpancé,Mamífero,76.765,20.869,1.062,27.74,30.522,48896.512,537.54,0.754
Suricata,Mamífero,50.796,21.988,1.065,31.52,34.634,38682.799,719.91,0.832
León (Manada),Mamífero,74.283,20.065,1.208,12,15.704,23406.63,844.66,0.855
Hiena,Mamífero,78.716,23.366,1.817,32.17,60.27,110853.288,274.2,0.765
Cebra (Manada),Mamífero,74.214,27.297,1.254,29.84,38.673,78344.52,628.98,0.896
Macaco,Mamífero,74.882,26.185,1.645,7.06,13.259,25998.051,889.37,0.837
Babuino,Mamífero,56.837,22.894,0.921,17.51,17.048,22183.306,263.83,0.785
Ñu,Mamífero,69.071,23.648,1.12,47.15,53.928,88085.51,496.14,0.781
Oveja (Rebaño),Mamífero,69.441,26.091,0.996,22.08,22.988,41649.317,336.91,0.859
Tigre,Mamífero,59.79,21.4,1.39,0.78,2.474,3165.498,322.78,0.903
Oso Polar,Mamífero,44.581,15.321,0.948,0.94,1.839,1256.084,226.18,0.84
Puma,Mamífero,57.527,18.147,1.44,0.46,2.102,2194.367,362.18,0.859
Rinoceronte,Mamífero,45.298,17.466,1.209,0.9,2.297,1817.329,324.55,0.839
Leopardo,Mamífero,47.988,17.193,0.864,0.05,0.907,748.327,499.02,0.876
Perezoso,Mamífero,42.193,21.274,0.844,0.38,1.165,1045.72,416.83,0.863
Ornitorrinco,Mamífero,59.922,20.291,0.808,0.72,1.39,1690.069,488.43,0.929
Armadillo,Mamífero,53.634,20.37,0.878,0.43,1.256,1372.211,206.73,0.896
Pangolín,Mamífero,49.074,24.538,1.15,0.18,1.357,1634.069,450.34,0.84
Zorro,Mamífero,58.253,23.705,1.226,0.15,1.41,1947.051,219.38,0.896
Paloma (Bandada),Ave,140.5,48.091,0.2,98.62,19.924,134622.194,4335.88,0.853
Flamenco,Ave,110.779,53.936,0.323,58.69,19.28,115197.54,4636.17,0.883
Pingüino (Colonia),Ave,145.12,54.204,0.228,164.09,37.641,296087.286,2256.96,0.849
Pato,Ave,140.633,41.926,0.306,180.86,55.649,328116.474,3425.85,0.855
Ganso,Ave,126.926,43.177,0.28,96.76,27.373,150011.811,3617.89,0.873
Gorrión,Ave,149.806,49.748,0.248,83.7,21.006,156548.242,3314.3,0.852
Golondrina,Ave,123.523,48.825,0.228,144.67,33.213,200307.951,2690.34,0.822
Águila Solitaria,Ave,106.868,44.054,0.619,1.34,1.448,6817.13,2719.27,0.857
Halcón,Ave,106.427,36.323,0.736,1.57,1.892,7313.995,2871.03,0.907
Búho,Ave,124.225,36.904,0.712,0.93,1.374,6298.965,1193.86,0.893
Carpintero,Ave,121.872,41.734,0.701,0.68,1.178,5991.551,2968.33,0.86
Martín Pescador,Ave,125.85,37.487,0.711,0.56,1.109,5231.972,1380.42,0.895
Cóndor,Ave,107.494,44.233,0.775,0.1,0.853,4055.829,1886.26,0.936
Serpiente de Cascabel,Reptil,29.986,13.36,0.724,0,0.724,290.044,584.5,0.976
Cocodrilo,Reptil,19.713,7.137,0.489,0,0.489,68.798,300.52,0.924
Dragón de Komodo,Reptil,15.304,12.841,0.779,0,0.779,153.088,327.5,0.945
Tortuga Marina,Reptil,21.115,12.184,0.784,0,0.784,201.696,177.4,0.938
Camaleón,Reptil,20.844,12.48,0.551,0,0.551,143.333,128.58,0.955
Iguana,Reptil,13.149,14.608,0.598,0,0.598,114.864,140.06,0.931
Gecko,Reptil,14.704,6.199,0.597,0,0.597,54.417,545.14,0.935
Monstruo de Gila,Reptil,18.384,10.837,0.402,0,0.402,80.089,361.39,0.976
Termita,Insecto,173.869,139.579,0.097,1528.54,148.365,3600590.239,603.01,0.918
Avispa,Insecto,157.254,145.829,0.061,504.99,30.865,707802.154,799.07,0.96
Langosta (Plaga),Insecto,176.52,193.326,0.105,399.72,42.076,1435881.601,728.52,0.953
Hormiga Guerrera,Insecto,233.374,170.354,0.148,114.86,17.147,681699.465,567.01,0.959
Abejorro,Insecto,231.71,129.938,0.07,319.31,22.422,675080.096,598.03,0.956
Mantis Religiosa,Insecto,166.055,182.984,1.087,0,1.087,33028.939,272.56,0.974
Mariposa,Insecto,245.136,139.598,1.138,0,1.138,38942.924,369.84,0.986
Escarabajo Rinoceronte,Insecto,213.536,141.502,1.055,0,1.055,31877.638,151.6,0.981
Libélula,Insecto,261.185,182.752,0.83,0,0.83,39617.627,342.46,0.95
Ciempiés,Insecto,285.589,181.839,0.859,0,0.859,44608.916,525.57,0.973
Araña Tejedora,Insecto,196.239,234.847,1.16,0,1.16,53459.923,508.26,0.984
Escorpión,Insecto,187.429,115.419,0.963,0,0.963,20832.452,501.05,0.985
Cucaracha,Insecto,173.183,239.482,1.124,0,1.124,46617.013,539.07,0.989
Polilla,Insecto,153.718,210.485,1.121,0,1.121,36270.329,299.48,0.987
Sardina,Marino,72.43,24.002,0.362,443.44,160.887,279696.396,246.84,0.858
Atún,Marino,48.897,32.249,0.339,191.04,65.102,102658,165.08,0.871
Arenque,Marino,40.947,22.897,0.39,211.65,82.934,77755.888,132.07,0.911
Pez Payaso (Anémona),Marino,65.659,25.995,0.382,146.14,56.207,95934.428,295.29,0.888
Salmón,Marino,78.816,22.679,0.133,273.83,36.552,65335.533,290.63,0.869
Piraña,Marino,69.142,24.705,0.216,330.64,71.634,122361.84,201.55,0.886
Tiburón Blanco,Marino,27.642,20.632,1.038,0.72,1.785,1018.003,10.15,0.939
Pulpo,Marino,42.259,20.059,1.164,0.33,1.548,1312.198,42.78,0.81
Pez Globo,Marino,29.417,22.72,0.809,0.41,1.141,762.592,74.78,0.845
Manta Raya,Marino,32.072,14.435,1.44,0.68,2.419,1119.899,21.46,0.863
Calamar Gigante,Marino,47.084,19.233,0.5,0.29,0.645,584.09,37.09,0.882
Pez Espada,Marino,32.897,18.7,0.942,0.21,1.14,701.298,68.92,0.87
Cangrejo Ermitaño,Marino,34.196,23.518,0.585,0.52,0.889,714.953,81.64,0.825
Estrella de Mar,Marino,38.988,15.028,1.173,0.22,1.431,838.44,83.66,0.913
Erizo de Mar,Marino,25.974,10.366,1.35,0.07,1.445,389.061,32.04,0.871
Bosque de Álamos (Pando),Planta,0.047,0.033,12.416,3195.86,39692.214,61.563,0.47,0.339
Manglar,Planta,0.069,0.005,6.599,4826.32,31855.485,10.99,1.53,0.354
Pradera de Posidonia,Planta,0.026,0.048,8.738,8635.03,75461.63,94.176,1.08,0.21
Red de Micorrizas (Pino),Planta,0.051,0.041,13.932,9550.36,133069.548,278.248,1.37,0.398
Bosque de Kelp,Planta,0.09,0.033,17.459,5930.85,103564.169,307.586,1.47,0.301
Musgo (Tapiz),Planta,0.091,0.038,8.709,6738.95,58698.225,202.978,1,0.252
Liquen,Planta,0.079,0.028,6.162,3571.55,22014.053,48.695,1.29,0.255
Bambú (Rizoma),Planta,0.034,0.019,8.469,7245.55,61371.032,39.646,1.13,0.228
Águila Solitaria (Variante),Ave,101.927,39.076,0.603,0.84,1.11,4421.018,2085.22,0.892
Bosque de Kelp (Variante),Planta,0.095,0.006,12.155,9484.67,115298.319,65.72,1.77,0.315
Iguana (Variante),Reptil,25.07,13.534,0.674,0,0.674,228.686,576.72,0.945
Bambú (Rizoma) (Variante),Planta,0.091,0.027,10.833,7019.86,76056.976,186.872,0.62,0.297
Araña Tejedora (Variante),Insecto,258.627,226.076,1.014,0,1.014,59287.929,563.79,0.989
